Electrodes;RAS-Slicer;MNI152;ASEG_Region
B'1;[-25.123    11.2902   -1.61692];[-31.55000986 -11.84743139 -21.85007353];Left-Hippocampus
B'9;[-52.1013   4.2902   2.8203];[-64.64341131 -21.55927084 -17.20884434];ctx_lh_G_temporal_middle
C'10;[-48.5667  -16.4601    4.17776];[-59.38808624 -44.2194965 -17.6547196;ctx_lh_G_temporal_inf
C'11;[-51.0515  -18.4601    4.79897];[-62.37823086 -46.62219096 -17.0915037];ctx_lh_G_temporal_inf
C'12;[-53.7138  -21.4601    5.95264];[-65.54396712 -50.19391749 -15.91543884];ctx_lh_G_temporal_inf
C'2;[-26.5581     0.53987    0.273006];[-32.86709213 -23.91628875 -20.52730187];ctx_lh_G_oc-temp_med-Parahip
C'3;[-29.1562    -2.17973    0.952643];[-35.96701369 -27.11942429 -19.96966161];ctx_lh_S_collat_transv_ant
C'5;[-34.6522   -6.43913   1.95264];[-42.58915673 -32.20810089 -19.21968661];ctx_lh_S_collat_transv_ant
C'6;[-37.4002   -8.08792   1.95264];[-45.9224498 -34.16498299 -19.47722934];ctx_lh_S_collat_transv_ant
C'8;[-42.7095  -12.4601    3.11282];[-52.30803209 -39.38625689 -18.51529634];ctx_lh_G_temporal_inf
C'9;[-45.7269 -14.4601   4.2665];[-55.95555133 -41.8843433 -17.23218651];ctx_lh_G_temporal_inf
J'10;[-34.5298 -19.3973  57.7835];[-41.67085771 -53.24618993  56.12534383];ctx_lh_G_pariet_inf-Angular
J'11;[-38.0663 -19.3973  58.1469];[-46.04844943 -53.48897954  56.53948886];ctx_lh_G_pariet_inf-Angular
J'4;[-13.7527 -19.3973  55.5943];[-15.95252017 -51.8131148   53.61761504];ctx_lh_G_parietal_sup
J'5;[-17.7014 -19.3973  55.6828];[-20.84160422 -52.04513701  53.64338612];ctx_lh_S_intrapariet_and_P_trans
J'7;[-24.2248 -19.3973  56.2721];[-28.91679669 -52.48300766  54.2957991];ctx_lh_G_pariet_inf-Angular
K'10;[-39.3076 -25.3643  54.1317];[-47.35028142 -59.58914624  50.29293081];ctx_lh_G_pariet_inf-Angular
K'4;[-15.3467 -26.4292  54.1317];[-17.63614094 -59.41184829  50.75248869];ctx_lh_G_pariet_inf-Angular
K'5;[-18.364  -26.0742  54.1317];[-21.38721991 -59.19261311  50.72016947];ctx_lh_S_intrapariet_and_P_trans
L'1;[ -6.20456 -47.9438   35.3676 ];[ -5.48496932 -80.11613166  22.66096578];ctx_lh_G_cuneus
L'6;[-22.5131 -52.9438  40.8942];[-25.44650455 -87.17756103  29.29235017];ctx_lh_G_occipital_middle
L'7;[-25.0878 -54.9438  41.2576];[-28.54898925 -89.55354391  29.49855174];ctx_lh_Pole_occipital
M'1;[ -3.6849 -11.5181  40.0458];[ -3.87942564 -40.71861506  33.37418588];ctx_lh_G_cingul-Post-dorsal
M'10;[-34.9638 -13.5181  37.82  ];[-42.53484284 -44.38318813  29.31874122];ctx_lh_Lat_Fis-post
M'11;[-38.6377 -14.5181  36.9468];[-47.04538819 -45.5749277   27.91192537];ctx_lh_G_temp_sup-Plan_tempo
M'12;[-42.1742 -14.5181  37.1728];[-51.42352479 -45.80079829  28.13696462];ctx_lh_G_temp_sup-Plan_tempo
M'14;[-48.9724 -15.5181  35.2889];[-59.80670881 -47.04304214  25.26312313];ctx_lh_G_temp_sup-Plan_tempo
M'4;[-14.0376 -12.8525  21.1955];[-16.71713983 -40.43639424   7.02409648];Left-Hippocampus
M'5;[-17.9683 -12.5181  39.1634];[-21.52710594 -42.50334674  31.69668362];Left-Lateral-Ventricle
M'6;[-21.4899 -12.7123  38.479 ];[-25.88223029 -42.82864202  30.64662483];WM-hypointensities
O'10;[-36.2142 -27.6613  39.0529];[-43.4830413  -60.07099229  29.34928556];ctx_lh_S_temporal_sup
O'11;[-39.2315 -27.3063  38.0529];[-47.23808587 -59.72862023  27.94065063];ctx_lh_S_temporal_sup
O'12;[-42.4128 -27.5076  36.662 ];[-51.17434033 -59.95562676  25.92567969];ctx_lh_S_temporal_sup
O'14;[-49.3484 -26.5076  35.0529];[-59.81073726 -59.05234949  23.65804273];ctx_lh_G_pariet_inf-Angular
O'9;[-32.487  -28.0163  40.0529];[-38.84897074 -60.37361043  30.77518534];ctx_lh_S_temporal_sup
P'10;[-36.1358 -31.1693  55.9494];[-43.17132681 -65.98327607  52.2003499];ctx_lh_S_temporal_sup
P'5;[-18.5644 -31.1693  53.0208];[-21.42534474 -64.63867061  48.59701026];ctx_lh_G_pariet_inf-Angular
P'8;[-28.7531 -31.2623  53.9494];[-34.03379586 -65.42527396  49.61650957];ctx_lh_S_temporal_sup
P'9;[-33.296  -31.1693  55.5057];[-39.65673475 -65.76961331  51.65874289];ctx_lh_S_temporal_sup
Q'1;[-10.5879 -40.82    28.1905];[-11.24085424 -71.6877644   13.50039747];ctx_lh_S_calcarine
Q'10;[-41.1798 -33.82    22.5297];[-49.43798164 -65.04915024   5.77502173];ctx_lh_S_occipital_ant
Q'12;[-48.1154 -32.82    21.1955];[-58.07328842 -64.1797233    3.88573396];ctx_lh_S_temporal_inf
Q'3;[-17.6609 -39.82    26.7188];[-20.04684036 -70.80910045  11.4185247];Left-Lateral-Ventricle
Q'5;[-25.0087 -36.82    25.3845];[-29.27671832 -67.77569068   9.7504091];ctx_lh_S_oc_middle_and_Lunatus
Q'6;[-27.8582 -36.82    24.9235];[-32.80690897 -67.87849469   9.04662737];ctx_lh_G_occipital_middle
Q'9;[-38.0555 -34.82    22.8534];[-45.52598304 -66.00757764   6.1808512];ctx_lh_S_occipital_ant
R'13;[-47.0927   -4.59885  40.4505 ];[-57.91825073 -35.63287188  33.67582875];ctx_lh_G_pariet_inf-Supramar
S'2;[ -9.04771  -7.54467  67.2765 ];[-10.57909986 -40.02698058  71.18139781];ctx_lh_G_precuneus
S'3;[-12.5842   -7.54467  67.6399 ];[-14.9566792  -40.26976962  71.59554308];ctx_lh_G_precuneus
S'5;[-19.6572   -7.54467  67.5422 ];[-23.71513229 -40.65382247  71.28906083];ctx_lh_G_parietal_sup
C1;[ 22.3968    5.16332  -7.00193];[ 27.52735842 -15.22316765 -28.81453969];ctx_rh_G_oc-temp_med-Parahip
C10;[ 54.3218    6.16332  -8.12849];[ 67.01159211 -12.20314096 -29.47295481];ctx_rh_G_temporal_middle
C2;[ 26.2786    5.00964  -7.12849];[ 32.33992085 -15.1582584  -28.91209611];ctx_rh_G_oc-temp_med-Parahip
C3;[ 30.0059    5.00964  -7.12849];[ 36.95520971 -14.94953207 -28.82144772];ctx_rh_S_collat_transv_ant
C4;[ 33.3782    5.00964  -7.12849];[ 41.13092366 -14.7606855  -28.73943298];ctx_rh_S_collat_transv_ant
C5;[ 37.2829    5.00964  -7.12849];[ 45.96587614 -14.54202488 -28.64447021];ctx_rh_S_collat_transv_ant
C6;[ 40.3002    5.18713  -7.12849];[ 49.69454565 -14.17896802 -28.55055933];ctx_rh_G_temporal_inf
C8;[ 47.2223    5.7196   -7.12849];[ 58.24335237 -13.20906482 -28.32062367];ctx_rh_G_temporal_inf
C9;[ 50.7721    6.07458  -8.12849];[ 62.61994909 -12.49896137 -29.56954825];ctx_rh_G_temporal_middle
J1;[  2.58522 -17.479    30.1546 ];[  4.09611823 -45.66792435  19.22378091];ctx_rh_S_pericallosal
J10;[ 32.4492 -27.479   34.2492];[ 41.51194853 -55.43502473  24.42886604];ctx_rh_S_temporal_sup
J11;[ 35.9602 -28.5677  34.6126];[ 45.90666452 -56.47368153  24.88848015];ctx_rh_S_temporal_sup
J12;[ 39.391  -29.479   34.8386];[ 50.19406311 -57.30591884  25.17755738];ctx_rh_S_temporal_sup
J4;[ 12.5857 -20.479   31.7943];[ 16.61185956 -48.5903918   21.37673683];Right-Lateral-Ventricle
J5;[ 15.9192 -21.479   32.4324];[ 20.78414458 -49.57581838  22.22036773];Right-Lateral-Ventricle
J6;[ 19.2789 -22.5808  32.2019];[ 24.98971112 -50.56414209  21.85739306];Right-Lateral-Ventricle
J7;[ 22.3114 -24.479   33.1592];[ 28.82835209 -52.58793545  23.02913123];WM-hypointensities
K2;[ 13.9752 -27.3692  60.1493];[ 18.73480681 -59.53874492  59.63899101];ctx_rh_S_intrapariet_and_P_trans
K3;[ 17.5897 -28.3692  60.7295];[ 23.25480742 -60.50130605  60.40976718];ctx_rh_S_intrapariet_and_P_trans
K4;[ 20.5015 -29.1679  61.4271];[ 26.89669137 -61.29754726  61.3483169];ctx_rh_S_intrapariet_and_P_trans
K5;[ 24.0513 -29.7004  61.4271];[ 31.31460266 -61.68106379  61.37305564];ctx_rh_G_pariet_inf-Angular
K6;[ 27.4236 -30.4103  62.4271];[ 35.52415785 -62.39164873  62.74927389];ctx_rh_G_pariet_inf-Angular
L2;[  3.41229 -46.2826   37.9562 ];[  6.36334597 -78.07977997  26.64972606];ctx_rh_G_cuneus
L3;[  7.02058 -46.2826   39.1439 ];[ 10.83598193 -78.02396779  28.37213028];ctx_rh_G_occipital_sup
L4;[ 10.7663 -47.2826  39.6447];[ 15.51814942 -78.96940362  29.03681827];ctx_rh_S_oc_sup_and_transversal
O10;[ 31.4256 -62.2283  18.1117];[ 41.64289178 -91.50451225  -1.82567973];ctx_rh_G_and_S_occipital_inf
Q1;[  4.65324 -32.282    12.5051 ];[  7.20980449 -59.56628819  -6.72943146];ctx_rh_G_oc-temp_med-Lingual
Q10;[ 36.0267 -31.3058  10.2092];[ 46.00746421 -56.45918442  -9.013394];ctx_rh_S_oc-temp_lat
Q11;[ 39.5765  -31.1283    9.20922];[ 50.39153013 -55.94316255 -10.28281968];ctx_rh_G_temporal_inf
Q12;[ 42.9488  -30.7733    9.20922];[ 54.55230415 -55.366114   -10.15974306];ctx_rh_G_temporal_inf
Q14;[ 50.2258  -31.2171    8.20922];[ 63.57768199 -55.32077709 -11.41041439];ctx_rh_G_temporal_inf
Q15;[ 53.2431  -30.5071    8.20922];[ 67.28394119 -54.37540631 -11.25490953];ctx_rh_G_temporal_middle
Q2;[  8.53633 -32.282    12.5937 ];[ 12.01834998 -59.35974765  -6.51305267];ctx_rh_G_oc-temp_med-Lingual
Q4;[ 15.6155 -32.282   11.809 ];[ 20.78094375 -58.8666933   -7.42088135];ctx_rh_S_oc-temp_med_and_Lingual
Q5;[ 19.2238 -32.282   11.4853];[ 25.24759848 -58.62477147  -7.77864046];ctx_rh_S_oc-temp_med_and_Lingual
Q7;[ 26.1071 -32.0158  10.7495];[ 33.75664942 -57.85761029  -8.59314025];ctx_rh_G_oc-temp_lat-fusifor
Q9;[ 32.8319 -31.4833  10.2092];[ 42.05900768 -56.8321921   -9.11162286];ctx_rh_S_oc-temp_lat
S1;[  7.01371   3.84265  51.5639 ];[  8.7672422  -24.74041235  51.26365549];ctx_rh_S_cingul-Marginalis
S6;[  2.40323000e+01   2.66434000e-02   5.18784000e+01];[ 30.00216807 -27.99901431  51.66901384];ctx_rh_S_central
S9;[ 34.3463   -1.77206  53.2921 ];[ 42.8546702  -29.56244597  53.65749796];ctx_rh_G_postcentral
